weather_id,record_datetime,weather_condition,temperature_c,rain_intensity,visibility_level
161,2024-06-23 22:00:00,Cloudy,22.1,0,9
162,2024-03-19 04:00:00,Foggy,21.6,0,4
163,2024-07-31 08:00:00,Foggy,22.3,0,4
164,2024-07-31 23:00:00,Sunny,26.4,0,8
165,2024-05-15 09:00:00,Cloudy,25.9,1,9
166,2024-06-14 18:00:00,Sunny,28.8,0,10
167,2024-03-23 15:00:00,Sunny,29.6,0,9
168,2024-08-25 00:00:00,Foggy,23.8,0,3
169,2024-12-11 09:00:00,Cloudy,23.5,1,6
170,2024-11-30 15:00:00,Cloudy,22.5,0,9
171,2024-11-09 20:00:00,Sunny,26.2,0,9
172,2024-12-22 04:00:00,Cloudy,22.4,1,7
173,2024-11-13 08:00:00,Rainy,18.8,6,5
174,2024-06-16 14:00:00,Cloudy,24.7,1,8
175,2024-07-09 09:00:00,Foggy,20.6,0,3
176,2024-11-13 05:00:00,Foggy,21.7,0,4
177,2024-01-20 14:00:00,Cloudy,24.0,1,8
178,2024-11-28 20:00:00,Cloudy,26.9,1,7
179,2024-08-20 08:00:00,Sunny,27.5,0,9
180,2024-07-07 14:00:00,Sunny,33.4,0,10
181,2024-06-13 18:00:00,Cloudy,25.3,0,6
182,2024-11-21 00:00:00,Cloudy,22.3,1,7
183,2024-01-12 18:00:00,Cloudy,21.9,1,9
184,2024-10-03 01:00:00,Sunny,29.0,0,8
185,2024-11-19 01:00:00,Cloudy,23.6,1,8
186,2024-08-13 19:00:00,Cloudy,25.4,1,9
187,2024-07-03 22:00:00,Sunny,28.9,0,9
188,2024-03-23 08:00:00,Sunny,27.9,0,8
189,2024-05-06 09:00:00,Cloudy,22.3,1,6
190,2024-11-26 13:00:00,Sunny,25.0,0,10
191,2024-12-24 03:00:00,Sunny,27.1,0,10
192,2024-07-21 05:00:00,Cloudy,25.7,0,7
193,2024-07-25 08:00:00,Sunny,28.4,0,8
194,2024-03-27 09:00:00,Sunny,25.5,0,10
195,2024-07-18 10:00:00,Sunny,28.3,0,8
196,2024-03-11 00:00:00,Cloudy,24.8,0,9
197,2024-11-16 10:00:00,Foggy,18.2,0,5
198,2024-02-05 01:00:00,Cloudy,24.3,1,7
199,2024-03-18 21:00:00,Sunny,28.1,0,9
200,2024-12-01 16:00:00,Foggy,17.7,0,6
201,2024-02-06 14:00:00,Sunny,28.7,0,10
202,2024-07-26 10:00:00,Sunny,29.1,0,10
203,2024-03-21 20:00:00,Sunny,30.2,0,8
204,2024-12-22 17:00:00,Cloudy,26.1,1,7
205,2024-07-21 23:00:00,Sunny,25.2,0,9
206,2024-07-27 11:00:00,Foggy,18.1,0,6
207,2024-05-21 20:00:00,Cloudy,25.0,0,6
208,2024-04-17 05:00:00,Cloudy,25.0,1,6
209,2024-02-21 05:00:00,Sunny,29.0,0,10
210,2024-11-03 13:00:00,Sunny,35.7,0,9
211,2024-01-23 06:00:00,Cloudy,25.1,1,8
212,2024-07-12 00:00:00,Sunny,30.3,0,10
213,2024-06-08 08:00:00,Cloudy,25.9,1,6
214,2024-03-19 08:00:00,Rainy,20.3,5,5
215,2024-04-07 02:00:00,Cloudy,23.4,0,8
216,2024-07-28 23:00:00,Sunny,29.5,0,8
217,2024-03-25 21:00:00,Cloudy,22.5,1,9
218,2024-07-04 20:00:00,Cloudy,23.5,1,9
219,2024-02-24 21:00:00,Cloudy,23.0,1,9
220,2024-06-19 22:00:00,Cloudy,24.2,1,8
221,2024-01-15 03:00:00,Sunny,32.6,0,8
222,2024-04-29 14:00:00,Rainy,15.3,6,2
223,2024-05-03 21:00:00,Cloudy,25.4,1,8
224,2024-03-03 06:00:00,Rainy,15.8,8,5
225,2024-08-07 04:00:00,Cloudy,23.1,1,8
226,2024-10-08 00:00:00,Cloudy,26.2,0,8
227,2024-01-26 01:00:00,Cloudy,24.1,1,9
228,2024-08-08 16:00:00,Cloudy,21.8,1,8
229,2024-12-17 07:00:00,Sunny,26.6,0,9
230,2024-11-11 09:00:00,Foggy,21.4,0,3
231,2024-12-06 07:00:00,Cloudy,22.5,0,8
232,2024-07-01 07:00:00,Cloudy,24.4,0,7
233,2024-11-26 21:00:00,Cloudy,24.1,1,9
234,2024-06-12 08:00:00,Sunny,26.7,0,10
235,2024-10-05 12:00:00,Cloudy,28.3,1,6
236,2024-11-11 00:00:00,Sunny,29.3,0,8
237,2024-07-18 05:00:00,Rainy,14.9,4,5
238,2024-11-25 09:00:00,Cloudy,24.4,1,9
239,2024-04-08 17:00:00,Rainy,17.7,5,5
240,2024-12-12 23:00:00,Sunny,29.7,0,10
241,2024-07-07 14:00:00,Cloudy,22.4,0,6
242,2024-08-20 00:00:00,Foggy,19.8,0,6
243,2024-01-02 18:00:00,Rainy,20.0,10,4
244,2024-11-30 06:00:00,Sunny,29.7,0,9
245,2024-11-26 15:00:00,Foggy,17.6,0,6
246,2024-09-14 12:00:00,Sunny,27.3,0,10
247,2024-06-12 00:00:00,Cloudy,23.1,1,7
248,2024-01-30 19:00:00,Cloudy,22.7,0,9
249,2024-09-17 06:00:00,Sunny,31.5,0,9
250,2024-04-13 20:00:00,Sunny,28.8,0,10
251,2024-12-08 21:00:00,Cloudy,21.5,0,7
252,2024-10-27 13:00:00,Rainy,20.8,7,2
253,2024-01-11 11:00:00,Sunny,32.2,0,9
254,2024-02-21 01:00:00,Cloudy,26.1,1,7
255,2024-09-28 08:00:00,Cloudy,21.0,1,8
256,2024-08-04 04:00:00,Cloudy,23.0,1,9
257,2024-02-16 17:00:00,Cloudy,26.5,1,6
258,2024-07-15 04:00:00,Sunny,26.6,0,10
259,2024-03-08 04:00:00,Rainy,19.9,3,5
260,2024-10-29 21:00:00,Foggy,21.5,0,3
261,2024-01-20 18:00:00,Sunny,26.1,0,9
262,2024-07-19 06:00:00,Sunny,27.9,0,8
263,2024-04-09 09:00:00,Sunny,21.5,0,9
264,2024-05-02 22:00:00,Sunny,26.0,0,9
265,2024-09-18 03:00:00,Sunny,27.5,0,8
266,2024-04-07 16:00:00,Cloudy,21.5,0,9
267,2024-06-22 09:00:00,Sunny,31.3,0,10
268,2024-07-15 08:00:00,Cloudy,21.1,0,9
269,2024-10-28 13:00:00,Cloudy,23.1,0,6
270,2024-06-19 17:00:00,Rainy,19.3,6,5
271,2024-09-19 14:00:00,Cloudy,26.9,1,7
272,2024-06-10 22:00:00,Foggy,17.1,0,3
273,2024-07-20 23:00:00,Sunny,30.3,0,9
274,2024-09-27 04:00:00,Rainy,19.0,6,2
275,2024-02-03 11:00:00,Sunny,26.0,0,10
276,2024-06-06 02:00:00,Rainy,19.9,9,4
277,2024-05-09 19:00:00,Cloudy,24.4,1,7
278,2024-01-27 21:00:00,Cloudy,22.8,0,6
279,2024-01-23 18:00:00,Sunny,28.1,0,9
280,2024-07-20 11:00:00,Cloudy,23.2,0,6
281,2024-04-29 21:00:00,Sunny,28.2,0,9
282,2024-09-06 18:00:00,Sunny,29.3,0,10
283,2024-06-24 10:00:00,Cloudy,27.2,1,7
284,2024-08-19 05:00:00,Rainy,16.5,9,4
285,2024-02-21 09:00:00,Foggy,24.3,0,6
286,2024-09-28 07:00:00,Sunny,24.1,0,8
287,2024-03-02 15:00:00,Rainy,18.7,10,4
288,2024-06-29 12:00:00,Foggy,21.2,0,3
289,2024-06-27 23:00:00,Cloudy,24.6,1,8
290,2024-06-08 14:00:00,Cloudy,22.8,1,6
291,2024-02-13 03:00:00,Cloudy,23.6,1,7
292,2024-10-05 17:00:00,Cloudy,23.0,1,8
293,2024-01-26 09:00:00,Sunny,26.8,0,8
294,2024-03-20 06:00:00,Sunny,29.7,0,9
295,2024-04-02 14:00:00,Sunny,28.7,0,10
296,2024-10-13 02:00:00,Sunny,26.6,0,9
297,2024-03-08 14:00:00,Cloudy,25.8,0,9
298,2024-07-09 23:00:00,Foggy,20.6,0,6
299,2024-05-28 07:00:00,Sunny,29.6,0,9
300,2024-03-08 19:00:00,Cloudy,25.3,0,8
301,2024-02-11 08:00:00,Rainy,17.3,7,4
302,2024-03-24 09:00:00,Sunny,26.9,0,8
303,2024-05-24 19:00:00,Rainy,20.5,9,2
304,2024-08-15 16:00:00,Cloudy,25.2,0,6
305,2024-05-20 02:00:00,Sunny,28.0,0,8
306,2024-05-21 10:00:00,Sunny,28.2,0,10
307,2024-04-10 17:00:00,Cloudy,26.6,0,8
308,2024-07-08 06:00:00,Foggy,18.8,0,3
309,2024-03-29 17:00:00,Foggy,21.1,0,4
310,2024-01-18 14:00:00,Cloudy,23.6,0,6
311,2024-06-11 10:00:00,Sunny,27.6,0,9
312,2024-06-30 03:00:00,Cloudy,26.2,0,7
313,2024-10-14 09:00:00,Sunny,29.7,0,10
314,2024-11-02 00:00:00,Cloudy,25.6,0,9
315,2024-11-04 13:00:00,Foggy,22.6,0,3
316,2024-11-08 16:00:00,Cloudy,24.0,0,8
317,2024-11-22 23:00:00,Cloudy,25.4,0,6
318,2024-03-14 16:00:00,Foggy,19.4,0,6
319,2024-02-25 03:00:00,Cloudy,24.6,1,6
320,2024-02-14 20:00:00,Sunny,27.7,0,8
321,2024-08-09 23:00:00,Sunny,28.2,0,10
322,2024-12-28 04:00:00,Sunny,29.2,0,10
323,2024-10-20 16:00:00,Sunny,26.4,0,10
324,2024-03-19 02:00:00,Sunny,32.2,0,10
325,2024-10-20 14:00:00,Foggy,18.0,0,4
326,2024-08-19 09:00:00,Cloudy,21.6,0,9
327,2024-10-10 23:00:00,Foggy,22.3,0,6
328,2024-08-01 08:00:00,Cloudy,25.6,1,9
329,2024-11-19 18:00:00,Cloudy,25.2,1,7
330,2024-03-04 15:00:00,Sunny,29.3,0,8
331,2024-02-10 22:00:00,Cloudy,24.0,1,7
332,2024-10-07 10:00:00,Cloudy,22.2,1,6
333,2024-10-15 17:00:00,Sunny,28.2,0,10
334,2024-07-15 08:00:00,Foggy,18.6,0,3
335,2024-12-12 09:00:00,Cloudy,26.0,1,6
336,2024-11-25 04:00:00,Sunny,27.7,0,10
337,2024-08-27 00:00:00,Sunny,26.3,0,8
338,2024-03-19 10:00:00,Foggy,19.4,0,5
339,2024-10-19 22:00:00,Foggy,20.8,0,4
340,2024-07-01 13:00:00,Foggy,18.9,0,3
341,2024-07-29 22:00:00,Sunny,26.4,0,9
342,2024-05-03 20:00:00,Rainy,19.5,7,2
343,2024-02-17 12:00:00,Foggy,20.5,0,6
344,2024-01-21 22:00:00,Sunny,27.0,0,10
345,2024-05-26 20:00:00,Sunny,27.1,0,10
346,2024-08-20 17:00:00,Sunny,28.5,0,9
347,2024-08-09 10:00:00,Sunny,25.1,0,9
348,2024-02-05 21:00:00,Foggy,17.2,0,3
349,2024-02-03 23:00:00,Sunny,26.6,0,10
350,2024-10-16 11:00:00,Cloudy,23.6,1,9
351,2024-07-05 11:00:00,Cloudy,24.6,1,9
352,2024-03-18 16:00:00,Sunny,31.0,0,10
353,2024-07-12 08:00:00,Sunny,29.7,0,8
354,2024-02-01 00:00:00,Cloudy,23.7,1,8
355,2024-02-07 09:00:00,Sunny,28.0,0,10
356,2024-05-24 04:00:00,Sunny,26.0,0,9
357,2024-07-16 14:00:00,Foggy,20.0,0,5
358,2024-12-05 13:00:00,Sunny,27.4,0,8
359,2024-09-16 13:00:00,Cloudy,24.6,0,7
360,2024-02-19 04:00:00,Cloudy,22.3,0,8
361,2024-01-29 21:00:00,Sunny,29.0,0,10
362,2024-08-01 17:00:00,Cloudy,27.1,1,6
363,2024-07-16 15:00:00,Cloudy,23.8,1,9
364,2024-08-09 17:00:00,Sunny,28.8,0,8
365,2024-11-10 02:00:00,Sunny,29.4,0,10
366,2024-03-01 03:00:00,Foggy,19.2,0,5
367,2024-10-24 10:00:00,Cloudy,24.4,0,7
368,2024-07-30 19:00:00,Cloudy,24.0,0,9
369,2024-04-24 18:00:00,Cloudy,24.2,0,8
370,2024-03-18 20:00:00,Sunny,26.5,0,10
371,2024-08-27 16:00:00,Cloudy,24.0,0,8
372,2024-03-11 04:00:00,Cloudy,25.0,0,7
373,2024-04-28 10:00:00,Sunny,30.9,0,8
374,2024-12-03 07:00:00,Cloudy,25.9,0,7
375,2024-08-03 19:00:00,Cloudy,28.3,1,8
376,2024-11-16 02:00:00,Sunny,26.5,0,8
377,2024-02-08 08:00:00,Cloudy,25.7,1,8
378,2024-07-30 21:00:00,Sunny,28.4,0,8
379,2024-09-08 17:00:00,Cloudy,28.4,0,6
380,2024-03-02 15:00:00,Foggy,18.4,0,3
381,2024-01-29 00:00:00,Cloudy,22.3,1,9
382,2024-11-20 16:00:00,Cloudy,22.8,0,8
383,2024-03-11 15:00:00,Cloudy,19.8,0,9
384,2024-02-27 13:00:00,Foggy,18.9,0,5
385,2024-06-18 03:00:00,Cloudy,22.5,0,6
386,2024-09-05 10:00:00,Cloudy,24.3,1,7
387,2024-09-21 11:00:00,Sunny,28.7,0,9
388,2024-08-16 10:00:00,Cloudy,27.8,1,6
389,2024-09-20 21:00:00,Sunny,29.9,0,8
390,2024-04-12 15:00:00,Sunny,26.8,0,10
391,2024-04-06 13:00:00,Sunny,26.2,0,10
392,2024-03-29 00:00:00,Rainy,20.0,6,5
393,2024-09-14 03:00:00,Cloudy,21.4,0,8
394,2024-12-25 08:00:00,Cloudy,27.7,1,7
395,2024-10-16 01:00:00,Sunny,30.4,0,10
396,2024-07-29 20:00:00,Cloudy,23.1,0,8
397,2024-08-21 06:00:00,Sunny,24.6,0,8
398,2024-06-03 15:00:00,Rainy,21.7,9,3
399,2024-07-20 22:00:00,Rainy,18.8,4,2
400,2024-12-12 13:00:00,Foggy,22.5,0,3
401,2024-08-17 21:00:00,Foggy,16.8,0,3
402,2024-09-14 04:00:00,Foggy,18.8,0,4
403,2024-04-23 00:00:00,Sunny,28.0,0,8
404,2024-09-05 16:00:00,Cloudy,24.1,0,9
405,2024-07-13 12:00:00,Cloudy,23.1,0,9
406,2024-06-08 17:00:00,Foggy,21.2,0,6
407,2024-05-12 10:00:00,Cloudy,21.9,1,9
408,2024-10-27 18:00:00,Sunny,27.7,0,10
409,2024-12-09 07:00:00,Cloudy,24.2,1,9
410,2024-04-04 11:00:00,Cloudy,25.0,0,7
411,2024-11-24 01:00:00,Foggy,21.4,0,3
412,2024-12-18 04:00:00,Foggy,17.8,0,3
413,2024-02-27 06:00:00,Foggy,16.9,0,5
414,2024-11-02 17:00:00,Foggy,22.6,0,5
415,2024-03-03 14:00:00,Rainy,19.7,4,5
416,2024-08-26 15:00:00,Rainy,17.5,5,5
417,2024-09-27 15:00:00,Rainy,22.1,8,2
418,2024-02-25 17:00:00,Cloudy,24.2,0,9
419,2024-08-05 13:00:00,Sunny,30.4,0,8
420,2024-04-03 22:00:00,Rainy,19.1,7,3
421,2024-04-04 17:00:00,Sunny,32.1,0,9
422,2024-11-02 05:00:00,Foggy,23.5,0,6
423,2024-06-23 17:00:00,Cloudy,23.5,0,6
424,2024-12-26 07:00:00,Sunny,29.9,0,8
425,2024-07-24 14:00:00,Cloudy,25.3,1,7
426,2024-10-13 14:00:00,Sunny,30.7,0,8
427,2024-03-16 16:00:00,Cloudy,22.1,1,6
428,2024-01-12 05:00:00,Foggy,21.4,0,6
429,2024-07-17 20:00:00,Cloudy,26.1,0,7
430,2024-10-11 09:00:00,Cloudy,20.5,1,7
431,2024-02-28 10:00:00,Sunny,25.6,0,10
432,2024-12-25 02:00:00,Cloudy,19.9,1,6
433,2024-11-16 22:00:00,Cloudy,23.5,0,9
434,2024-09-11 20:00:00,Sunny,29.4,0,9
435,2024-08-31 18:00:00,Sunny,31.0,0,8
436,2024-06-13 14:00:00,Foggy,20.1,0,5
437,2024-04-01 01:00:00,Cloudy,27.3,0,8
438,2024-08-19 02:00:00,Sunny,25.2,0,10
439,2024-11-13 04:00:00,Foggy,16.6,0,4
440,2024-04-02 01:00:00,Rainy,18.9,9,3
441,2024-01-26 05:00:00,Sunny,28.8,0,9
442,2024-05-16 04:00:00,Sunny,27.9,0,8
443,2024-07-30 16:00:00,Foggy,15.9,0,5
444,2024-01-25 23:00:00,Cloudy,23.8,1,8
445,2024-07-14 07:00:00,Foggy,17.4,0,4
446,2024-08-14 14:00:00,Sunny,29.3,0,8
447,2024-10-25 07:00:00,Sunny,28.7,0,9
448,2024-09-20 22:00:00,Foggy,18.1,0,6
449,2024-12-04 17:00:00,Sunny,27.0,0,8
450,2024-02-26 09:00:00,Cloudy,21.9,1,8
451,2024-05-03 04:00:00,Cloudy,23.9,0,9
452,2024-02-24 15:00:00,Cloudy,25.9,1,6
453,2024-07-28 05:00:00,Sunny,26.0,0,9
454,2024-10-30 00:00:00,Cloudy,25.0,1,7
455,2024-08-28 16:00:00,Sunny,26.9,0,8
456,2024-02-09 03:00:00,Cloudy,22.4,1,8
457,2024-10-04 07:00:00,Sunny,27.8,0,10
458,2024-04-19 05:00:00,Sunny,25.9,0,10
459,2024-01-24 18:00:00,Rainy,17.9,4,5
460,2024-09-07 01:00:00,Sunny,25.6,0,8
461,2024-01-23 02:00:00,Sunny,31.9,0,10
462,2024-09-10 23:00:00,Cloudy,24.1,1,8
463,2024-12-27 10:00:00,Cloudy,22.6,0,7
464,2024-07-09 06:00:00,Sunny,28.4,0,9
465,2024-01-18 16:00:00,Sunny,27.8,0,8
466,2024-03-21 09:00:00,Cloudy,23.6,1,9
467,2024-10-31 15:00:00,Sunny,29.2,0,9
468,2024-07-13 22:00:00,Sunny,29.5,0,10
469,2024-03-24 17:00:00,Cloudy,22.9,1,7
470,2024-11-04 14:00:00,Sunny,26.8,0,8
471,2024-10-30 20:00:00,Sunny,27.4,0,10
472,2024-02-14 07:00:00,Rainy,14.4,7,4
473,2024-04-17 12:00:00,Cloudy,21.0,1,8
474,2024-12-13 07:00:00,Cloudy,26.7,0,8
475,2024-04-04 19:00:00,Sunny,31.3,0,8
476,2024-01-18 22:00:00,Sunny,27.5,0,9
477,2024-09-08 20:00:00,Sunny,29.2,0,10
478,2024-02-14 21:00:00,Cloudy,24.6,0,6
479,2024-11-22 18:00:00,Sunny,34.2,0,10
480,2024-03-26 13:00:00,Cloudy,26.2,1,6
481,2024-11-14 00:00:00,Rainy,18.7,3,5
482,2024-05-04 05:00:00,Cloudy,22.1,1,7
483,2024-10-22 08:00:00,Foggy,16.8,0,4
484,2024-12-19 16:00:00,Cloudy,24.4,0,6
485,2024-04-20 13:00:00,Sunny,26.5,0,8
486,2024-06-02 22:00:00,Sunny,25.2,0,10
487,2024-07-12 21:00:00,Sunny,26.7,0,10
488,2024-05-14 00:00:00,Foggy,17.8,0,5
489,2024-07-25 17:00:00,Cloudy,27.4,1,7
490,2024-04-15 06:00:00,Cloudy,25.8,0,7
